GENESIS-Tabelle: 13211-0008
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;
Bundesländer, Monate;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen
;;;Anzahl;Prozent;Prozent;Anzahl
Saarland;2016;Juli;37334;7,2;7,8;7415
Saarland;2016;August;37658;7,3;7,8;7409
Saarland;2016;September;36480;7,1;7,6;7433
Saarland;2016;Oktober;35010;6,8;7,3;7768
Saarland;2016;November;34383;6,7;7,1;7590
Saarland;2016;Dezember;...;...;...;...
Sachsen;2015;Januar;198275;9,4;10,5;23079
Sachsen;2015;Februar;198203;9,4;10,5;24633
Sachsen;2015;März;192416;9,1;10,2;25602
Sachsen;2015;April;182352;8,6;9,6;26572
Sachsen;2015;Mai;173874;8,2;9,1;27523
Sachsen;2015;Juni;166968;7,9;8,7;28192
Sachsen;2015;Juli;168942;8,0;8,9;28139
Sachsen;2015;August;167809;7,9;8,8;28987
Sachsen;2015;September;161648;7,6;8,5;29054
Sachsen;2015;Oktober;159399;7,5;8,4;29961
Sachsen;2015;November;158548;7,5;8,3;29343
Sachsen;2015;Dezember;163390;7,7;8,6;28247
Sachsen;2016;Januar;179745;8,5;9,4;27993
Sachsen;2016;Februar;179480;8,5;9,4;30245
Sachsen;2016;März;175384;8,3;9,2;31221
Sachsen;2016;April;164974;7,8;8,6;31610
Sachsen;2016;Mai;156945;7,4;8,2;32032
Sachsen;2016;Juni;151780;7,2;8,0;32701
Sachsen;2016;Juli;154811;7,3;8,1;32624
Sachsen;2016;August;150957;7,1;7,9;33310
Sachsen;2016;September;146295;6,9;7,7;33340
Sachsen;2016;Oktober;143694;6,8;7,5;33068
Sachsen;2016;November;143293;6,8;7,5;32185
Sachsen;2016;Dezember;...;...;...;...
Sachsen-Anhalt;2015;Januar;133891;11,4;12,4;12296
Sachsen-Anhalt;2015;Februar;132639;11,3;12,3;13630
Sachsen-Anhalt;2015;März;126500;10,8;11,7;14293
Sachsen-Anhalt;2015;April;121044;10,3;11,2;14606
Sachsen-Anhalt;2015;Mai;116582;10,0;10,9;14412
Sachsen-Anhalt;2015;Juni;113442;9,8;10,6;14585
Sachsen-Anhalt;2015;Juli;116275;10,0;10,9;15102
Sachsen-Anhalt;2015;August;116052;10,0;10,8;15219
Sachsen-Anhalt;2015;September;112613;9,7;10,5;15233
Sachsen-Anhalt;2015;Oktober;110840;9,5;10,4;15240
Sachsen-Anhalt;2015;November;111059;9,6;10,4;15340
Sachsen-Anhalt;2015;Dezember;115282;9,9;10,8;15208
Sachsen-Anhalt;2016;Januar;126844;10,9;11,8;14874
Sachsen-Anhalt;2016;Februar;125763;10,8;11,7;15905
Sachsen-Anhalt;2016;März;121180;10,4;11,3;16020
Sachsen-Anhalt;2016;April;114555;9,9;10,7;16566
Sachsen-Anhalt;2016;Mai;110795;9,6;10,4;16979
Sachsen-Anhalt;2016;Juni;106748;9,3;10,0;16985
Sachsen-Anhalt;2016;Juli;108064;9,4;10,2;16990
Sachsen-Anhalt;2016;August;105647;9,2;9,9;17267
Sachsen-Anhalt;2016;September;101731;8,8;9,6;17227
Sachsen-Anhalt;2016;Oktober;99241;8,6;9,3;17268
Sachsen-Anhalt;2016;November;99517;8,6;9,4;16545
Sachsen-Anhalt;2016;Dezember;...;...;...;...
Schleswig-Holstein;2015;Januar;106411;7,1;8,0;14903
Schleswig-Holstein;2015;Februar;106364;7,1;8,0;16744
Schleswig-Holstein;2015;März;102494;6,9;7,7;17372
Schleswig-Holstein;2015;April;97962;6,6;7,4;18017
Schleswig-Holstein;2015;Mai;94899;6,3;7,0;18144
Schleswig-Holstein;2015;Juni;93262;6,2;6,9;18824
Schleswig-Holstein;2015;Juli;96532;6,4;7,2;19099
Schleswig-Holstein;2015;August;97843;6,5;7,3;19090
Schleswig-Holstein;2015;September;94274;6,2;7,0;18820
Schleswig-Holstein;2015;Oktober;92847;6,1;6,9;19112
Schleswig-Holstein;2015;November;94258;6,2;7,0;19113
Schleswig-Holstein;2015;Dezember;97048;6,4;7,2;18849
Schleswig-Holstein;2016;Januar;104989;7,0;7,8;17978
Schleswig-Holstein;2016;Februar;104775;6,9;7,8;20196
Schleswig-Holstein;2016;März;101208;6,7;7,5;20915
Schleswig-Holstein;2016;April;96668;6,4;7,2;20789
Schleswig-Holstein;2016;Mai;93677;6,2;6,9;20913
Schleswig-Holstein;2016;Juni;90466;6,0;6,7;21318
Schleswig-Holstein;2016;Juli;92410;6,1;6,8;21762
Schleswig-Holstein;2016;August;94281;6,2;6,9;22753
Schleswig-Holstein;2016;September;90615;6,0;6,7;22742
Schleswig-Holstein;2016;Oktober;88558;5,8;6,5;23001
Schleswig-Holstein;2016;November;89319;5,9;6,6;22855
Schleswig-Holstein;2016;Dezember;...;...;...;...
Thüringen;2015;Januar;98600;8,5;9,5;15972
Thüringen;2015;Februar;96965;8,4;9,3;17079
Thüringen;2015;März;92832;8,0;8,9;18003
Thüringen;2015;April;88222;7,6;8,5;18047
